Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,home,game_id
Joelinton,7.0,br BRA,LM,28-208,90,3,2,3,0,0,3,66.7,1,1,0,1,1,4,2,0,False,WestHam_NewcastleUtd_20250310
Sandro Tonali,8.0,it ITA,CM,24-306,90,3,2,1,2,0,2,50.0,1,0,0,0,1,4,2,0,False,WestHam_NewcastleUtd_20250310
Bruno Guimarães,39.0,br BRA,RM,27-114,87,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,False,WestHam_NewcastleUtd_20250310
Sean Longstaff,36.0,eng ENG,RM,27-131,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,WestHam_NewcastleUtd_20250310
Valentino Livramento,21.0,eng ENG,LB,22-118,90,2,1,2,0,0,2,50.0,1,2,0,2,0,2,3,0,False,WestHam_NewcastleUtd_20250310
Dan Burn,33.0,eng ENG,CB,32-305,90,0,0,0,0,0,0,,0,2,2,0,1,1,8,0,False,WestHam_NewcastleUtd_20250310
Fabian Schär,5.0,ch SUI,CB,33-080,90,0,0,0,0,0,1,0.0,1,2,2,0,1,1,5,0,False,WestHam_NewcastleUtd_20250310
Kieran Trippier,2.0,eng ENG,RB,34-172,90,0,0,0,0,0,1,0.0,1,1,0,1,3,3,3,0,False,WestHam_NewcastleUtd_20250310
Nick Pope,22.0,eng ENG,GK,32-325,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,WestHam_NewcastleUtd_20250310
Beto,14.0,gw GNB,FW,27-043,78,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,True,Everton_WestHam_20250315
Armando Broja,22.0,al ALB,FW,23-186,12,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Everton_WestHam_20250315
Carlos Alcaraz,24.0,ar ARG,"LW,LM,AM",22-105,90,3,2,1,1,1,3,33.3,2,0,0,0,1,4,0,0,True,Everton_WestHam_20250315
Jack Harrison,11.0,eng ENG,"RW,LW",28-115,78,2,2,2,0,0,3,33.3,2,1,0,1,0,2,1,0,True,Everton_WestHam_20250315
Youssef Chermiti,17.0,pt POR,FW,20-295,12,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Everton_WestHam_20250315
Abdoulaye Doucouré,16.0,ml MLI,AM,32-073,67,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,True,Everton_WestHam_20250315
Jesper Lindstrøm,29.0,dk DEN,"RM,RW",25-014,23,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,True,Everton_WestHam_20250315
James Garner,37.0,eng ENG,DM,24-002,78,2,1,1,1,0,0,,0,4,0,4,2,4,3,0,True,Everton_WestHam_20250315
Tim Iroegbunam,42.0,eng ENG,CM,21-258,12,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,True,Everton_WestHam_20250315
Idrissa Gana Gueye,27.0,sn SEN,"DM,CM",35-170,90,4,1,1,1,2,3,33.3,2,1,1,0,2,6,1,0,True,Everton_WestHam_20250315
Vitaliy Mykolenko,19.0,ua UKR,LB,25-290,90,0,0,0,0,0,1,0.0,1,3,0,3,2,2,5,0,True,Everton_WestHam_20250315
Jarrad Branthwaite,32.0,eng ENG,CB,22-261,90,1,0,1,0,0,2,0.0,2,0,0,0,0,1,9,0,True,Everton_WestHam_20250315
James Tarkowski,6.0,eng ENG,CB,32-116,90,2,2,1,1,0,1,100.0,0,1,0,1,0,2,3,0,True,Everton_WestHam_20250315
Jake O'Brien,15.0,ie IRL,RB,23-304,90,1,1,0,1,0,1,100.0,0,0,0,0,0,1,2,0,True,Everton_WestHam_20250315
Jordan Pickford,1.0,eng ENG,GK,31-008,90,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,True,Everton_WestHam_20250315
Jarrod Bowen,20.0,eng ENG,FW,28-085,90,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,False,Everton_WestHam_20250315
Mohammed Kudus,14.0,gh GHA,FW,24-225,89,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,False,Everton_WestHam_20250315
Evan Ferguson,34.0,ie IRL,FW,20-147,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Everton_WestHam_20250315
Tomáš Souček,28.0,cz CZE,"CM,CB",30-016,90,2,0,2,0,0,1,0.0,1,1,1,0,0,2,4,0,False,Everton_WestHam_20250315
James Ward-Prowse,8.0,eng ENG,CM,30-134,90,2,2,2,0,0,1,0.0,1,0,0,0,0,2,2,0,False,Everton_WestHam_20250315
Lucas Paquetá,10.0,br BRA,CM,27-200,82,2,1,1,1,0,2,0.0,2,0,0,0,0,2,2,0,False,Everton_WestHam_20250315
Carlos Soler,4.0,es ESP,CM,28-072,8,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,False,Everton_WestHam_20250315
Emerson Palmieri,33.0,it ITA,WB,30-224,90,3,1,1,1,1,3,33.3,2,4,1,3,0,3,4,0,False,Everton_WestHam_20250315
Aaron Wan-Bissaka,29.0,cd COD,WB,27-109,90,1,0,1,0,0,0,,0,0,0,0,3,4,6,0,False,Everton_WestHam_20250315
Max Kilman,26.0,eng ENG,CB,27-296,90,2,1,1,1,0,0,,0,1,1,0,0,2,6,0,False,Everton_WestHam_20250315
Konstantinos Mavropanos,15.0,gr GRE,CB,27-094,90,0,0,0,0,0,0,,0,1,1,0,1,1,7,0,False,Everton_WestHam_20250315
Jean-Clair Todibo,25.0,fr FRA,CB,25-075,89,4,1,0,4,0,1,100.0,0,0,0,0,5,9,2,0,False,Everton_WestHam_20250315
Guido Rodríguez,24.0,ar ARG,CM,30-337,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Everton_WestHam_20250315
Alphonse Areola,23.0,fr FRA,GK,32-016,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,Everton_WestHam_20250315
Mateus Fernandes,18.0,pt POR,FW,20-248,45,1,1,1,0,0,1,0.0,1,0,0,0,0,1,0,0,True,Southampton_Wolves_20250315
Paul Onuachu,32.0,ng NGA,FW,30-291,45,1,1,0,0,1,0,,0,2,0,2,0,1,0,0,True,Southampton_Wolves_20250315
Kamaldeen Sulemana,20.0,gh GHA,LW,23-028,82,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,True,Southampton_Wolves_20250315
Albert Grønbaek,29.0,dk DEN,LW,23-296,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Southampton_Wolves_20250315
Tyler Dibling,33.0,eng ENG,"RW,RM",19-003,90,5,3,4,1,0,4,75.0,1,0,0,0,0,5,0,0,True,Southampton_Wolves_20250315
Ryan Manning,3.0,ie IRL,LM,28-274,90,1,0,0,1,0,1,0.0,1,1,0,1,0,1,2,0,True,Southampton_Wolves_20250315
Joe Aribo,7.0,ng NGA,CM,28-237,89,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,True,Southampton_Wolves_20250315
Jack Stephens,5.0,eng ENG,CM,31-047,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Southampton_Wolves_20250315
Lesley Ugochukwu,26.0,fr FRA,CM,20-354,82,1,1,0,1,0,1,100.0,0,3,0,3,0,1,0,0,True,Southampton_Wolves_20250315
Flynn Downes,4.0,eng ENG,CM,26-054,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Southampton_Wolves_20250315
Yukinari Sugawara,16.0,jp JPN,RM,24-260,68,1,1,1,0,0,2,50.0,1,0,0,0,0,1,1,0,True,Southampton_Wolves_20250315
Cameron Archer,19.0,eng ENG,RW,23-237,22,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Southampton_Wolves_20250315
Taylor Harwood-Bellis,6.0,eng ENG,CB,23-044,90,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,True,Southampton_Wolves_20250315
Armel Bella Kotchap,37.0,de GER,CB,23-094,90,3,2,1,2,0,1,100.0,0,0,0,0,1,4,4,0,True,Southampton_Wolves_20250315
Kyle Walker-Peters,2.0,eng ENG,CB,27-336,90,1,1,0,1,0,1,100.0,0,1,0,1,0,1,0,0,True,Southampton_Wolves_20250315
Aaron Ramsdale,30.0,eng ENG,GK,26-305,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Southampton_Wolves_20250315
Jørgen Strand Larsen,9.0,no NOR,FW,25-037,89,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,Southampton_Wolves_20250315
Tommy Doyle,20.0,eng ENG,AM,23-149,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Southampton_Wolves_20250315
Jean-Ricner Bellegarde,27.0,ht HAI,AM,26-261,68,4,2,4,0,0,0,,0,1,0,1,0,4,1,0,False,Southampton_Wolves_20250315
Pablo Sarabia,21.0,es ESP,AM,32-308,22,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Southampton_Wolves_20250315
Marshall Munetsi,5.0,zw ZIM,AM,28-266,68,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,False,Southampton_Wolves_20250315
Gonçalo Guedes,29.0,pt POR,"AM,FW",28-106,22,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,False,Southampton_Wolves_20250315
André,7.0,br BRA,CM,23-242,90,3,1,2,1,0,7,42.9,4,2,1,1,1,4,0,0,False,Southampton_Wolves_20250315
João Gomes,8.0,br BRA,CM,24-031,90,6,6,2,4,0,4,25.0,3,0,0,0,2,8,0,0,False,Southampton_Wolves_20250315
Rayan Aït-Nouri,3.0,dz ALG,WB,23-282,79,5,5,3,2,0,6,33.3,4,0,0,0,1,6,3,0,False,Southampton_Wolves_20250315
Santiago Bueno,4.0,uy URU,CB,26-126,11,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,Southampton_Wolves_20250315
Nélson Semedo,22.0,pt POR,WB,31-119,89,2,1,0,2,0,3,33.3,2,1,0,1,3,5,6,0,False,Southampton_Wolves_20250315
Nasser Djiga,34.0,bf BFA,CB,22-120,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,Southampton_Wolves_20250315
Toti Gomes,24.0,pt POR,"CB,WB",26-058,90,1,1,1,0,0,3,33.3,2,2,0,2,1,2,7,0,False,Southampton_Wolves_20250315
Emmanuel Agbadou,12.0,ci CIV,CB,27-271,90,1,0,1,0,0,2,50.0,1,2,2,0,0,1,9,0,False,Southampton_Wolves_20250315
Matt Doherty,2.0,ie IRL,"CB,WB",33-058,90,3,0,1,2,0,3,66.7,1,1,1,0,1,4,6,0,False,Southampton_Wolves_20250315
José Sá,1.0,pt POR,GK,32-057,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Southampton_Wolves_20250315
Liam Delap,19.0,eng ENG,FW,22-035,79,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,True,IpswichTown_Nott'hamForest_20250315
George Hirst,27.0,sct SCO,FW,26-028,11,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,IpswichTown_Nott'hamForest_20250315
Julio Enciso,9.0,py PAR,"LW,AM",21-051,79,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,IpswichTown_Nott'hamForest_20250315
Nathan Broadhead,33.0,wls WAL,AM,26-344,11,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,True,IpswichTown_Nott'hamForest_20250315
Jaden Philogene Bidace,29.0,eng ENG,"RW,LW",23-035,79,1,0,0,1,0,0,,0,3,0,3,1,2,1,0,True,IpswichTown_Nott'hamForest_20250315
Jack Clarke,47.0,eng ENG,LW,24-112,11,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,IpswichTown_Nott'hamForest_20250315
Omari Hutchinson,20.0,eng ENG,"RW,AM",21-136,90,1,1,1,0,0,1,0.0,1,2,0,2,0,1,0,0,True,IpswichTown_Nott'hamForest_20250315
Jens Cajuste,12.0,se SWE,DM,25-217,90,3,2,1,2,0,2,100.0,0,0,0,0,1,4,2,0,True,IpswichTown_Nott'hamForest_20250315
Kalvin Phillips,8.0,eng ENG,DM,29-103,85,1,1,1,0,0,2,0.0,2,4,0,4,0,1,2,0,True,IpswichTown_Nott'hamForest_20250315
Jack Taylor,14.0,ie IRL,DM,26-265,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,IpswichTown_Nott'hamForest_20250315
Leif Davis,3.0,eng ENG,LB,25-062,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,True,IpswichTown_Nott'hamForest_20250315
Jacob Greaves,24.0,eng ENG,CB,24-184,45,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,True,IpswichTown_Nott'hamForest_20250315
Cameron Burgess,15.0,au AUS,CB,29-145,45,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,True,IpswichTown_Nott'hamForest_20250315
Luke Woolfenden,6.0,eng ENG,CB,26-145,90,2,2,1,1,0,0,,0,0,0,0,1,3,2,0,True,IpswichTown_Nott'hamForest_20250315
Dara O'Shea,26.0,ie IRL,RB,26-011,90,1,1,1,0,0,2,50.0,1,1,1,0,1,2,3,0,True,IpswichTown_Nott'hamForest_20250315
Alex Palmer,31.0,eng ENG,GK,28-217,90,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,True,IpswichTown_Nott'hamForest_20250315
Chris Wood,11.0,nz NZL,FW,33-098,79,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,False,IpswichTown_Nott'hamForest_20250315
Taiwo Awoniyi,9.0,ng NGA,FW,27-215,11,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,IpswichTown_Nott'hamForest_20250315
Callum Hudson-Odoi,14.0,eng ENG,LW,24-128,80,2,2,1,1,0,1,100.0,0,0,0,0,0,2,0,0,False,IpswichTown_Nott'hamForest_20250315
Jota Silva,20.0,pt POR,RW,25-226,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,IpswichTown_Nott'hamForest_20250315
Anthony Elanga,21.0,se SWE,RW,22-322,66,2,2,0,2,0,1,0.0,1,0,0,0,0,2,2,0,False,IpswichTown_Nott'hamForest_20250315
Morato,4.0,br BRA,CB,23-258,24,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,IpswichTown_Nott'hamForest_20250315
Morgan Gibbs-White,10.0,eng ENG,"AM,RW,LW",25-047,88,3,1,2,1,0,2,0.0,2,1,0,1,0,3,1,0,False,IpswichTown_Nott'hamForest_20250315
Danilo,28.0,br BRA,LW,23-320,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,IpswichTown_Nott'hamForest_20250315
Elliot Anderson,8.0,eng ENG,"DM,CM",22-129,90,2,2,0,2,0,3,33.3,2,0,0,0,2,4,1,1,False,IpswichTown_Nott'hamForest_20250315
Nicolás Domínguez,16.0,ar ARG,DM,26-260,66,1,1,0,1,0,3,33.3,2,0,0,0,0,1,3,0,False,IpswichTown_Nott'hamForest_20250315
Ryan Yates,22.0,eng ENG,CM,27-114,24,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,False,IpswichTown_Nott'hamForest_20250315
Neco Williams,7.0,wls WAL,"LB,LM",23-336,90,1,1,0,1,0,1,100.0,0,0,0,0,0,1,5,0,False,IpswichTown_Nott'hamForest_20250315
Murillo,5.0,br BRA,CB,22-254,90,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,False,IpswichTown_Nott'hamForest_20250315
Nikola Milenković,31.0,rs SRB,CB,27-154,90,4,2,2,2,0,2,100.0,0,1,1,0,0,4,9,0,False,IpswichTown_Nott'hamForest_20250315
Ola Aina,34.0,ng NGA,"RB,RM",28-158,90,0,0,0,0,0,1,0.0,1,1,1,0,0,0,9,0,False,IpswichTown_Nott'hamForest_20250315
Matz Sels,26.0,be BEL,GK,33-017,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,IpswichTown_Nott'hamForest_20250315
Erling Haaland,9.0,no NOR,FW,24-237,90,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,True,ManchesterCity_Brighton_20250315
Jeremy Doku,11.0,be BEL,LW,22-292,90,1,1,0,1,0,0,,0,3,0,3,0,1,0,0,True,ManchesterCity_Brighton_20250315
Sávio,26.0,br BRA,RW,20-339,57,1,1,0,1,0,1,100.0,0,2,0,2,1,2,0,0,True,ManchesterCity_Brighton_20250315
Bernardo Silva,20.0,pt POR,RW,30-217,18,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,ManchesterCity_Brighton_20250315
Phil Foden,47.0,eng ENG,RW,24-291,15,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,True,ManchesterCity_Brighton_20250315
Omar Marmoush,7.0,eg EGY,AM,26-036,85,2,0,0,2,0,1,100.0,0,0,0,0,0,2,1,0,True,ManchesterCity_Brighton_20250315
Kevin De Bruyne,17.0,be BEL,AM,33-260,5,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,True,ManchesterCity_Brighton_20250315
İlkay Gündoğan,19.0,de GER,DM,34-142,90,1,1,0,1,0,0,,0,2,0,2,0,1,0,0,True,ManchesterCity_Brighton_20250315
Nicolás González,14.0,es ESP,DM,23-071,90,4,2,3,1,0,4,25.0,3,2,0,2,0,4,4,0,True,ManchesterCity_Brighton_20250315
Joško Gvardiol,24.0,hr CRO,LB,23-051,90,4,3,3,1,0,1,100.0,0,2,1,1,1,5,8,1,True,ManchesterCity_Brighton_20250315
Rúben Dias,3.0,pt POR,CB,27-305,90,2,1,0,2,0,1,100.0,0,0,0,0,1,3,1,1,True,ManchesterCity_Brighton_20250315
Abdukodir Khusanov,45.0,uz UZB,CB,21-014,90,0,0,0,0,0,0,,0,0,0,0,0,0,8,0,True,ManchesterCity_Brighton_20250315
Rico Lewis,82.0,eng ENG,RB,20-114,90,2,2,2,0,0,3,33.3,2,1,1,0,0,2,4,0,True,ManchesterCity_Brighton_20250315
Stefan Ortega,18.0,de GER,GK,32-129,90,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,True,ManchesterCity_Brighton_20250315
João Pedro,9.0,br BRA,"FW,AM",23-170,90,1,1,1,0,0,1,0.0,1,2,0,2,1,2,0,0,False,ManchesterCity_Brighton_20250315
Kaoru Mitoma,22.0,jp JPN,LW,27-299,82,1,1,1,0,0,1,0.0,1,1,0,1,0,1,0,0,False,ManchesterCity_Brighton_20250315
Simon Adingra,11.0,ci CIV,LW,23-073,8,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,ManchesterCity_Brighton_20250315
Yankuba Minteh,17.0,gm GAM,RW,20-236,82,5,3,2,3,0,8,37.5,5,0,0,0,0,5,1,0,False,ManchesterCity_Brighton_20250315
Brajan Gruda,8.0,de GER,RW,20-288,8,3,0,3,0,0,1,0.0,1,0,0,0,0,3,0,0,False,ManchesterCity_Brighton_20250315
Georginio Rutter,14.0,fr FRA,AM,22-329,74,2,1,1,1,0,0,,0,0,0,0,1,3,0,1,False,ManchesterCity_Brighton_20250315
Danny Welbeck,18.0,eng ENG,FW,34-109,16,1,1,1,0,0,0,,0,0,0,0,0,1,0,0,False,ManchesterCity_Brighton_20250315
Diego Gómez,25.0,py PAR,DM,21-353,74,6,3,4,2,0,6,66.7,2,1,0,1,2,8,4,0,False,ManchesterCity_Brighton_20250315
Yasin Ayari,26.0,se SWE,DM,21-160,16,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,False,ManchesterCity_Brighton_20250315
Carlos Baleba,20.0,cm CMR,DM,21-071,86,1,1,1,0,0,4,25.0,3,0,0,0,1,2,2,0,False,ManchesterCity_Brighton_20250315
Mats Wieffer,27.0,nl NED,DM,25-119,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,ManchesterCity_Brighton_20250315
Pervis Estupiñán,30.0,ec ECU,LB,27-053,90,3,2,3,0,0,4,75.0,1,0,0,0,2,5,4,1,False,ManchesterCity_Brighton_20250315
Adam Webster,4.0,eng ENG,CB,30-070,90,1,0,1,0,0,2,50.0,1,1,1,0,1,2,3,0,False,ManchesterCity_Brighton_20250315
Jan Paul van Hecke,29.0,nl NED,CB,24-280,90,1,0,0,1,0,2,50.0,1,0,0,0,0,1,10,0,False,ManchesterCity_Brighton_20250315
Jack Hinshelwood,41.0,eng ENG,RB,19-338,90,2,2,0,0,2,4,25.0,3,0,0,0,2,4,1,0,False,ManchesterCity_Brighton_20250315
Bart Verbruggen,1.0,nl NED,GK,22-209,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,ManchesterCity_Brighton_20250315
Evanilson,9.0,br BRA,FW,25-160,90,1,1,1,0,0,1,100.0,0,0,0,0,0,1,1,0,True,Bournemouth_Brentford_20250315
Antoine Semenyo,24.0,gh GHA,"LW,RW",25-067,90,2,2,1,0,1,1,0.0,1,0,0,0,0,2,0,0,True,Bournemouth_Brentford_20250315
Marcus Tavernier,16.0,eng ENG,"RW,DM",25-358,90,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,True,Bournemouth_Brentford_20250315
Justin Kluivert,19.0,nl NED,AM,25-314,78,0,0,0,0,0,2,0.0,2,0,0,0,1,1,1,0,True,Bournemouth_Brentford_20250315
David Brooks,7.0,wls WAL,AM,27-250,12,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,True,Bournemouth_Brentford_20250315
Tyler Adams,12.0,us USA,DM,26-029,78,3,1,3,0,0,4,75.0,1,2,0,2,0,3,2,0,True,Bournemouth_Brentford_20250315
James Hill,23.0,eng ENG,DM,23-064,12,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,True,Bournemouth_Brentford_20250315
Ryan Christie,10.0,sct SCO,DM,30-021,66,1,0,1,0,0,1,0.0,1,1,0,1,0,1,1,0,True,Bournemouth_Brentford_20250315
Luis Sinisterra,17.0,co COL,LW,25-271,18,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,True,Bournemouth_Brentford_20250315
Dango Ouattara,11.0,bf BFA,LW,23-032,6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Bournemouth_Brentford_20250315
Milos Kerkez,3.0,hu HUN,LB,21-128,90,2,2,1,1,0,1,100.0,0,1,1,0,0,2,3,0,True,Bournemouth_Brentford_20250315
Dean Huijsen,2.0,es ESP,CB,19-335,90,1,1,1,0,0,1,100.0,0,0,0,0,2,3,9,0,True,Bournemouth_Brentford_20250315
Illia Zabarnyi,27.0,ua UKR,CB,22-195,84,2,2,2,0,0,2,100.0,0,0,0,0,4,6,7,0,True,Bournemouth_Brentford_20250315
Daniel Jebbison,21.0,ca CAN,CB,21-214,6,1,1,0,1,0,1,100.0,0,0,0,0,0,1,0,0,True,Bournemouth_Brentford_20250315
Lewis Cook,4.0,eng ENG,RB,28-040,90,3,1,1,2,0,1,100.0,0,0,0,0,2,5,5,0,True,Bournemouth_Brentford_20250315
Kepa Arrizabalaga,13.0,es ESP,GK,30-163,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,Bournemouth_Brentford_20250315
Yoane Wissa,11.0,cd COD,FW,28-193,90,0,0,0,0,0,0,,0,3,0,3,0,0,1,0,False,Bournemouth_Brentford_20250315
Kevin Schade,7.0,de GER,LW,23-108,84,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,False,Bournemouth_Brentford_20250315
Yunus Emre Konak,26.0,tr TUR,LW,19-064,6,1,1,0,1,0,0,,0,0,0,0,0,1,0,0,False,Bournemouth_Brentford_20250315
Bryan Mbeumo,19.0,cm CMR,RW,25-220,90,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,False,Bournemouth_Brentford_20250315
Mikkel Damsgaard,24.0,dk DEN,AM,24-255,84,3,1,0,1,2,3,66.7,1,1,0,1,1,4,0,0,False,Bournemouth_Brentford_20250315
Ben Mee,16.0,eng ENG,AM,35-175,6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Bournemouth_Brentford_20250315
Vitaly Janelt,27.0,de GER,DM,26-309,71,3,0,1,1,1,2,50.0,1,1,0,1,1,4,0,0,False,Bournemouth_Brentford_20250315
Yehor Yarmoliuk,18.0,ua UKR,DM,21-014,19,1,0,1,0,0,1,100.0,0,0,0,0,0,1,2,0,False,Bournemouth_Brentford_20250315
Christian Nørgaard,6.0,dk DEN,DM,31-005,90,4,4,2,1,1,3,66.7,1,1,1,0,0,4,2,0,False,Bournemouth_Brentford_20250315
Keane Lewis-Potter,23.0,eng ENG,LB,24-021,90,2,1,2,0,0,3,66.7,1,2,1,1,2,4,4,0,False,Bournemouth_Brentford_20250315
Ethan Pinnock,5.0,jm JAM,CB,31-290,90,0,0,0,0,0,1,0.0,1,1,1,0,0,0,13,0,False,Bournemouth_Brentford_20250315
Nathan Collins,22.0,ie IRL,CB,23-319,90,1,1,1,0,0,0,,0,3,2,1,1,2,11,0,False,Bournemouth_Brentford_20250315
Kristoffer Ajer,20.0,no NOR,RB,26-332,71,2,1,0,2,0,2,50.0,1,0,0,0,1,3,2,0,False,Bournemouth_Brentford_20250315
Sepp van den Berg,4.0,nl NED,RB,23-085,19,1,1,0,1,0,1,100.0,0,0,0,0,2,3,1,0,False,Bournemouth_Brentford_20250315
Mark Flekken,1.0,nl NED,GK,31-275,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,Bournemouth_Brentford_20250315
Mikel Merino,23.0,es ESP,FW,28-267,90,2,1,0,2,0,1,100.0,0,0,0,0,0,2,0,0,True,Arsenal_Chelsea_20250316
Leandro Trossard,19.0,be BEL,"LW,LM",30-102,90,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,True,Arsenal_Chelsea_20250316
Gabriel Martinelli,11.0,br BRA,RW,23-271,78,1,0,0,1,0,0,,0,1,0,1,1,2,0,0,True,Arsenal_Chelsea_20250316
Ethan Nwaneri,53.0,eng ENG,"RW,RM",17-360,12,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Arsenal_Chelsea_20250316
Declan Rice,41.0,eng ENG,"LM,CM",26-061,90,2,1,2,0,0,1,100.0,0,1,0,1,0,2,4,0,True,Arsenal_Chelsea_20250316
Thomas Partey,5.0,gh GHA,CM,31-276,90,2,0,1,1,0,2,50.0,1,0,0,0,1,3,1,0,True,Arsenal_Chelsea_20250316
Martin Ødegaard,8.0,no NOR,RM,26-089,89,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,True,Arsenal_Chelsea_20250316
Kieran Tierney,3.0,sct SCO,RB,27-284,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Arsenal_Chelsea_20250316
Myles Lewis-Skelly,49.0,eng ENG,LB,18-171,90,1,0,0,0,1,1,100.0,0,0,0,0,0,1,2,0,True,Arsenal_Chelsea_20250316
Gabriel Magalhães,6.0,br BRA,CB,27-087,90,1,1,0,1,0,0,,0,2,1,1,0,1,6,0,True,Arsenal_Chelsea_20250316
William Saliba,2.0,fr FRA,CB,23-357,90,2,2,2,0,0,2,50.0,1,2,2,0,0,2,4,1,True,Arsenal_Chelsea_20250316
Jurriën Timber,12.0,nl NED,"RB,CB",23-272,90,1,1,0,1,0,0,,0,3,0,3,2,3,3,0,True,Arsenal_Chelsea_20250316
David Raya,22.0,es ESP,GK,29-182,90,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,True,Arsenal_Chelsea_20250316
Pedro Neto,7.0,pt POR,FW,25-007,90,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,False,Arsenal_Chelsea_20250316
Christopher Nkunku,18.0,fr FRA,LW,27-122,75,4,2,3,0,1,4,75.0,1,1,0,1,0,4,2,0,False,Arsenal_Chelsea_20250316
Kiernan Dewsbury-Hall,22.0,eng ENG,LW,26-191,15,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,Arsenal_Chelsea_20250316
Jadon Sancho,19.0,eng ENG,RW,24-356,75,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,False,Arsenal_Chelsea_20250316
